Date,Open,High,Low,Close,Adj Close,Volume
1993-03-01,526.070007,543.729980,526.070007,538.719971,538.719971,0
1993-04-01,537.090027,537.090027,517.679993,525.700012,525.700012,0
1993-05-01,528.549988,543.539978,525.679993,539.760010,539.760010,0
1993-06-01,544.200012,544.409973,532.140015,541.340027,541.340027,0
1993-07-01,539.559998,541.700012,530.739990,539.159973,539.159973,0
1993-08-01,541.750000,559.619995,539.650024,559.619995,559.619995,0
1993-09-01,559.200012,559.200012,547.700012,555.330017,555.330017,0
1993-10-01,558.239990,568.570007,555.969971,566.820007,566.820007,0
1993-11-01,568.489990,568.489990,554.820007,561.409973,561.409973,0
1993-12-01,561.580017,573.599976,561.580017,568.200012,568.200012,0
1994-01-01,567.099976,587.520020,567.099976,587.520020,587.520020,0
1994-02-01,585.270020,588.190002,567.909973,571.570007,571.570007,0
1994-03-01,568.330017,577.229980,546.359985,546.650024,546.650024,0
1994-04-01,538.369995,555.770020,538.369995,553.659973,553.659973,0
1994-05-01,556.440002,563.760010,543.200012,562.750000,562.750000,0
1994-06-01,564.190002,570.679993,546.849976,548.960022,548.960022,0
1994-07-01,551.469971,566.979980,551.469971,566.979980,566.979980,0
1994-08-01,570.539978,590.929993,566.070007,590.229980,590.229980,0
1994-09-01,587.450012,590.080017,571.530029,575.799988,575.799988,0
1994-10-01,574.820007,590.380005,563.280029,588.729980,588.729980,0
1994-11-01,583.979980,583.979980,562.229980,567.289978,567.289978,0
1994-12-01,561.429993,579.530029,557.330017,575.710022,575.710022,0
1995-01-01,575.520020,590.640015,575.520020,590.640015,590.640015,0
1995-02-01,590.650024,614.400024,590.650024,613.650024,613.650024,0
1995-03-01,611.640015,635.719971,607.479980,631.760010,631.760010,0
1995-04-01,633.330017,650.359985,633.330017,650.359985,650.359985,0
1995-05-01,649.950012,676.359985,649.950012,676.359985,676.359985,0
1995-06-01,676.530029,699.630005,669.799988,692.070007,692.070007,0
1995-07-01,695.080017,718.950012,695.080017,715.020020,715.020020,0
1995-08-01,711.950012,716.820007,707.140015,716.820007,716.820007,0
1995-09-01,719.340027,749.659973,719.340027,747.070007,747.070007,0
1995-10-01,743.650024,755.830017,738.109985,744.400024,744.400024,0
1995-11-01,748.010010,779.979980,748.010010,777.070007,777.070007,0
1995-12-01,779.150024,798.760010,778.690002,792.039978,792.039978,0
1996-01-01,798.219971,819.000000,770.109985,819.000000,819.000000,0
1996-02-01,822.299988,852.469971,818.969971,826.590027,826.590027,0
1996-03-01,831.700012,846.659973,818.190002,834.549988,834.549988,0
1996-04-01,845.200012,848.210022,816.700012,846.849976,846.849976,0
1996-05-01,847.489990,880.460022,826.630005,868.690002,868.690002,0
1996-06-01,866.830017,881.090027,860.400024,872.010010,872.010010,0
