Year;Month;News-Based Historical Economic Policy Uncertainty
1923;3;65,05682
1923;4;82,74852
1923;5;86,9445
1923;6;84,66419
1923;7;116,5899
1923;8;89,10556
1923;9;85,33794
1923;10;90,60307
1923;11;84,45831
1923;12;89,01038
1924;1;108,6432
1924;2;81,44839
1924;3;104,0859
1924;4;110,5461
1924;5;167,1023
1924;6;123,3424
1924;7;98,90002
1924;8;115,8547
1924;9;79,62254
1924;10;141,382
1924;11;135,8667
1924;12;104,7144
1925;1;106,0876
1925;2;63,85575
1925;3;88,21921
1925;4;83,75463
1925;5;87,77007
1925;6;75,04261
1925;7;44,9484
1925;8;78,46589
1925;9;72,03616
1925;10;94,16293
1925;11;90,11568
1925;12;71,86861
1926;1;70,88535
1926;2;73,73474
1926;3;58,19131
1926;4;52,67887
1926;5;80,30718
1926;6;67,36776
1926;7;87,34057
1926;8;90,13015
1926;9;84,41649
1926;10;79,26063
1926;11;114,1035
1926;12;83,81003
1927;1;79,88611
1927;2;67,51424
1927;3;58,08757
1927;4;69,78757
1927;5;71,09299
1927;6;77,98864
1927;7;88,65768
1927;8;73,59159
1927;9;71,9425
1927;10;68,69399
1927;11;66,23586
1927;12;87,08976
1928;1;82,61806
1928;2;67,33735
1928;3;60,63065
1928;4;69,91162
1928;5;56,46412
1928;6;64,5648
1928;7;84,91172
1928;8;101,2543
1928;9;73,71627
1928;10;72,99112
1928;11;82,34858
1928;12;60,78055
1929;1;88,33013
1929;2;122,6822
1929;3;101,1314
1929;4;110,516
1929;5;91,86692
1929;6;107,1524
1929;7;96,41274
1929;8;88,50398
1929;9;88,4214
1929;10;74,37878
1929;11;80,95597
1929;12;102,3269
1930;1;86,00759
1930;2;105,8541
1930;3;87,97424
1930;4;76,33883
1930;5;70,68055
1930;6;118,7107
1930;7;71,31686
1930;8;79,78321
1930;9;82,43136
1930;10;77,48701
1930;11;105,1302
1930;12;85,87639
1931;1;95,24644
1931;2;97,14947
1931;3;104,1669
1931;4;79,29254
1931;5;94,10686
1931;6;98,45723
1931;7;71,62448
1931;8;98,29517
1931;9;86,61329
1931;10;102,0737
1931;11;81,96945
1931;12;136,0333
1932;1;159,0651
1932;2;135,2006
1932;3;146,1901
1932;4;154,9144
1932;5;256,843
1932;6;223,5042
1932;7;153,1495
1932;8;100,8472
1932;9;87,57608
1932;10;156,7482
1932;11;235,4777
1932;12;190,4084
1933;1;177,9384
1933;2;161,2106
1933;3;134,2273
1933;4;179,2444
1933;5;151,987
1933;6;163,5467
1933;7;89,91999
1933;8;108,692
1933;9;127,5377
1933;10;142,7273
1933;11;175,282
1933;12;184,2284
1934;1;182,0384
1934;2;137,2445
1934;3;194,1199
1934;4;174,4932
1934;5;209,1555
1934;6;217,0989
1934;7;175,6959
1934;8;171,1094
1934;9;228,8806
1934;10;228,7329
1934;11;169,4063
1934;12;175,7146
1935;1;243,7043
1935;2;245,8312
1935;3;317,3867
1935;4;202,8593
1935;5;285,179
1935;6;234,6815
1935;7;186,7193
1935;8;171,424
1935;9;212,351
1935;10;187,7783
1935;11;147,71
1935;12;187,6995
1936;1;262,0811
1936;2;172,0322
1936;3;164,3294
1936;4;163,3983
1936;5;205,166
1936;6;205,8784
1936;7;127,6376
1936;8;139,1584
1936;9;122,2015
1936;10;128,4087
1936;11;124,6013
1936;12;98,52227
1937;1;177,2538
1937;2;127,8215
1937;3;117,832
1937;4;150,1626
1937;5;134,5819
1937;6;183,2397
1937;7;155,9197
1937;8;164,3344
1937;9;172,3016
1937;10;128,4901
1937;11;238,8967
1937;12;221,2385
1938;1;272,3933
1938;2;188,321
1938;3;170,2431
1938;4;185,3445
1938;5;190,0151
1938;6;177,3464
1938;7;126,7621
1938;8;144,8815
1938;9;236,1628
1938;10;177,1406
1938;11;145,8015
1938;12;132,5939
1939;1;158,2989
1939;2;151,7741
1939;3;132,9069
1939;4;182,5684
1939;5;171,3484
1939;6;130,945
1939;7;150,2854
1939;8;155,2858
1939;9;237,9229
1939;10;239,3731
1939;11;164,1356
1939;12;146,0847
1940;1;208,6869
1940;2;153,3196
1940;3;177,3153
1940;4;182,376
1940;5;190,9887
1940;6;236,4433
1940;7;166,8618
1940;8;221,8677
1940;9;202,3327
1940;10;192,2595
1940;11;149,0149
1940;12;166,1613
1941;1;185,0538
1941;2;174,8801
1941;3;160,0532
1941;4;128,2626
1941;5;131,0774
1941;6;161,0205
1941;7;147,7899
1941;8;141,6279
1941;9;111,6702
1941;10;118,9633
1941;11;135,0771
1941;12;207,3902
1942;1;215,3798
1942;2;163,9376
1942;3;154,5282
1942;4;215,3591
1942;5;222,4077
1942;6;158,434
1942;7;188,2934
1942;8;180,016
1942;9;212,757
1942;10;168,2687
1942;11;134,9227
1942;12;201,6357
1943;1;146,878
1943;2;122,7898
1943;3;200,0471
1943;4;138,3515
1943;5;179,3519
1943;6;155,3182
1943;7;154,3448
1943;8;127,3965
1943;9;158,5912
1943;10;119,5584
1943;11;134,511
1943;12;123,6094
1944;1;112,8577
1944;2;132,0972
1944;3;100,9584
1944;4;196,423
1944;5;121,9887
1944;6;94,68127
1944;7;114,3209
1944;8;104,2296
1944;9;152,2831
1944;10;146,1261
1944;11;119,4283
1944;12;152,221
1945;1;96,23399
1945;2;100,4653
1945;3;135,332
1945;4;124,3359
1945;5;115,3874
1945;6;130,734
1945;7;149,0067
1945;8;207,7068
1945;9;175,7764
1945;10;180,6166
1945;11;132,1324
1945;12;138,8721
1946;1;129,8374
1946;2;109,4575
1946;3;150,9992
1946;4;132,0586
1946;5;111,486
1946;6;117,121
1946;7;170,5365
1946;8;115,6417
1946;9;120,1693
1946;10;116,3948
1946;11;114,078
1946;12;119,5058
1947;1;114,2647
1947;2;152,2009
1947;3;130,5448
1947;4;153,9724
1947;5;163,1066
1947;6;140,8187
1947;7;112,4254
1947;8;111,9913
1947;9;113,7115
1947;10;85,73466
1947;11;137,2261
1947;12;118,5518
1948;1;119,4632
1948;2;85,18812
1948;3;71,38684
1948;4;86,79726
1948;5;69,21114
1948;6;73,85011
1948;7;88,04681
1948;8;69,384
1948;9;102,8769
1948;10;93,12964
1948;11;92,05695
1948;12;78,86359
1949;1;138,4353
1949;2;97,86217
1949;3;78,9222
1949;4;73,09436
1949;5;59,81542
1949;6;75,83322
1949;7;89,43112
1949;8;71,35567
1949;9;72,61924
1949;10;65,72218
1949;11;50,68777
1949;12;65,77186
1950;1;100,2916
1950;2;66,93998
1950;3;53,60502
1950;4;57,01405
1950;5;56,13409
1950;6;82,20815
1950;7;105,5558
1950;8;89,54942
1950;9;77,51424
1950;10;75,09637
1950;11;97,54499
1950;12;90,95856
1951;1;131,3208
1951;2;69,70625
1951;3;74,15917
1951;4;82,02309
1951;5;88,56258
1951;6;81,6271
1951;7;119,4814
1951;8;74,95314
1951;9;69,5419
1951;10;61,21293
1951;11;55,70609
1951;12;48,56456
1952;1;95,72547
1952;2;56,95047
1952;3;58,13129
1952;4;57,16037
1952;5;84,84663
1952;6;87,78343
1952;7;78,78804
1952;8;56,09232
1952;9;54,8354
1952;10;86,28613
1952;11;67,87939
1952;12;64,93063
1953;1;57,38873
1953;2;57,50226
1953;3;98,21149
1953;4;78,63492
1953;5;59,75497
1953;6;100,49
