Year;Month;News_Based_Policy_Uncert_Index
2006;2;69,491745
2006;3;55,00807571
2006;4;81,65171814
2006;5;67,80979156
2006;6;82,58628082
2006;7;84,47445679
2006;8;71,51509857
2006;9;61,75134659
2006;10;55,62950897
2006;11;49,59912872
2006;12;51,03903961
2007;1;74,51002502
2007;2;50,86001968
2007;3;72,52986145
2007;4;59,8413887
2007;5;71,13732147
2007;6;68,7592392
2007;7;44,78275299
2007;8;90,0072937
2007;9;109,8926544
2007;10;90,64006805
2007;11;106,5661621
2007;12;116,9908981
2008;1;177,0422058
2008;2;108,3147354
2008;3;114,4745712
2008;4;98,19770813
2008;5;88,6734314
2008;6;89,13687897
2008;7;115,1027222
2008;8;81,16308594
2008;9;238,171875
2008;10;241,7722778
2008;11;162,7133789
2008;12;157,8286743
2009;1;184,8178253
2009;2;202,5479584
2009;3;167,9912262
2009;4;107,9272537
2009;5;125,9446259
2009;6;112,472641
2009;7;104,3551102
2009;8;111,1743393
2009;9;99,00963593
2009;10;86,24175262
2009;11;99,77926636
2009;12;108,3960953
2010;1;136,8638611
2010;2;116,72155
2010;3;124,6875
2010;4;123,7022018
2010;5;147,7632446
2010;6;129,732193
2010;7;196,9472351
2010;8;127,2281723
2010;9;186,7412262
2010;10;154,7627563
2010;11;175,0442657
2010;12;151,5533447
2011;1;111,4928131
2011;2;104,5623627
2011;3;153,8417206
2011;4;124,8465805
2011;5;84,54916382
2011;6;139,0379028
2011;7;207,1603088
2011;8;283,6655884
2011;9;214,4261017
2011;10;137,8392487
2011;11;143,7145538
2011;12;183,088623
2012;1;154,4180298
2012;2;119,4354324
2012;3;98,74810791
2012;4;96,96967316
2012;5;135,879837
2012;6;197,460968
2012;7;180,8035431
2012;8;142,9552917
2012;9;182,107193
2012;10;166,1284027
2012;11;205,8646698
2012;12;214,9519501
2013;1;199,3589478
2013;2;128,5625
2013;3;146,1158447
2013;4;135,4405823
2013;5;109,028038
2013;6;126,6258545
2013;7;91,43748474
2013;8;108,7583694
2013;9;179,8897247
2013;10;225,3733063
2013;11;89,91516876
2013;12;115,0207443
2014;1;107,7051392
2014;2;93,36928558
2014;3;101,0187302
2014;4;96,99343109
2014;5;102,0150452
2014;6;85,96846771
2014;7;78,50600433
2014;8;63,87733459
2014;9;86,21659088
2014;10;113,3345795
2014;11;93,18595123
2014;12;87,41532135
2015;1;120,5442276
2015;2;87,60946655
2015;3;95,97896576
2015;4;103,5449524
2015;5;102,3187027
2015;6;115,8802872
2015;7;98,73478699
2015;8;156,5036163
2015;9;171,9326782
2015;10;110,7019272
2015;11;89,58369446
2015;12;101,9634323
2016;1;154,8573151
2016;2;148,3217773
2016;3;130,4901581
2016;4;96,413414
